Name| Ingredients| Amounts| Categories| Link| Image
Easy Lemon-Pepper Blackened Salmon| butter, lemon juice, parsley, garlic powder, salt, black pepper, black peppercorns, salmon fillet, olive oil| 2T, 2T, 1t, 0.5t, *, 1T, 4, 2T| pescatarian| https://www.allrecipes.com/recipe/156814/easy-lemon-pepper-blackened-salmon/| https://images.media-allrecipes.com/userphotos/560x315/7249818.jpg
Pork Dumplings| wonton wrappers, ground pork, garlic, green onion, soy sauce, sesame oil, egg, Chinese cabbage| 100, 1.75lb, 1T, 4clove, 2T, 4T, 3T, 1, 5C| asian, chinese| https://www.allrecipes.com/recipe/14759/pork-dumplings/| https://images.media-allrecipes.com/userphotos/560x315/704866.jpg
Quinoa and Black Beans| vegetable oil, onion, garlic, quinoa, vegetable broth, cumin, cayenne pepper, salt, black pepper, corn kernels, black beans, cilantro| 1t, 1, 3cloves, 0.75C, 1.5C, 1t, 0.25t, *, 1C, 30oz, 0.5C| vegetarian, vegan| https://www.allrecipes.com/recipe/49552/quinoa-and-black-beans/| https://images.media-allrecipes.com/userphotos/560x315/357989.jpg  
